subID,surfaceID,nStrides,StrideRate,TibiaAcc_Propulsion,TibiaAcc_Break,TibiaAcc_Axial,TibiaAcc_Lateral,TibiaAcc_Medial,TibiaAcc_Resultant,HeadAcc_Axial,HeadAcc_Resultant,ShockAtten,ShockAtten_Resultant
P01,dirt,36,88.4112503055556,-5.46828919444445,7.90320961111111,12.7045593611111,2.55208330555556,-3.66364433333333,14.4205701666667,2.90022475,2.93444144444444,76.8037634722222,79.14049825
P01,gravel,37,89.2392642162162,-6.3107052972973,8.08413513513513,14.1916616486487,2.54920364864865,-3.4760552972973,15.7853579189189,3.19621754054054,3.2298942972973,77.2618226216216,79.248349972973
P01,paved,37,88.8598118648649,-5.62152651351351,9.52376124324324,13.5021643243243,2.13192648648649,-4.07140502702703,15.7728969189189,3.19413956756757,3.23664359459459,76.2462864324325,79.1296358918919
P02,dirt,22,90.0885958181818,-9.32930022727273,10.6757525454545,13.2577531363636,7.09077609090909,-10.9388390454546,17.1232936818182,2.97159840909091,3.15433677272727,77.4113167272727,81.2255390454546
P02,gravel,17,91.2418427647059,-8.83743970588236,8.77404829411765,13.4596214117647,5.74086917647059,-8.97006488235294,16.2876091764706,2.78482976470588,2.91107547058824,79.0335518823529,82.0263621764706
P02,paved,23,91.156585826087,-9.08181886956522,10.2485167826087,14.049468826087,6.85502269565217,-9.23113373913044,16.5361249565217,2.76687208695652,2.94724130434783,80.0802472173913,81.787715826087
P05,dirt,24,81.5432465833333,-2.88833675,5.473923875,10.756583875,2.6990355,-4.39038333333333,11.2460294583333,3.15716379166667,3.19786391666667,70.559593625,71.406500375
P05,gravel,26,81.1869156538461,-2.76240746153846,5.10200757692308,11.4893061923077,3.28987338461538,-4.8944495,12.1235376923077,3.11813926923077,3.14983503846154,72.4633573076923,73.3532922307692
P05,paved,23,82.7143528695652,-2.85002034782609,5.87745630434783,10.867094826087,3.02695786956522,-3.9925697826087,11.3261870434783,3.14001595652174,3.16878226086957,70.9833772173913,71.8824522608696
P06,dirt,27,104.649005481482,-14.3849218518518,15.727275962963,12.2757415925926,8.82201025925926,-11.3533355925926,19.7596195925926,3.47924033333333,3.52762644444444,71.1375008148148,81.6995237777778
P06,gravel,30,103.0233545,-13.8012868666667,15.3389584333333,13.5418916,8.2424847,-10.5792546,19.9266091,3.5466236,3.60389723333333,73.4104894,81.4857657
P06,paved,28,104.715975964286,-15.8315118571429,16.4926743928571,13.9427136428571,9.480096,-13.7985986785714,21.6734606785714,3.56085082142857,3.6047815,74.0931356071429,83.0646140357143
P07,dirt,34,84.0031552647059,-7.17086361764706,10.2496821470588,9.22523761764706,3.60807297058824,-4.69309873529412,13.7873014411765,2.32720305882353,2.53103867647059,74.4206081470588,81.2249523529412
P07,gravel,37,84.8883955135135,-6.1403512972973,9.53948397297298,9.22833916216216,3.05039813513514,-4.41871091891892,13.1996285135135,2.37826789189189,2.56609813513513,73.9577948648649,79.8859191351351
P07,paved,39,84.3445622820513,-8.32668251282051,12.6169783846154,9.5790166923077,3.85463769230769,-5.20340425641026,15.8163281794872,2.50889130769231,2.66335112820513,73.6407736923077,83.0153014871795
P08,dirt,49,86.0433611632653,-4.33474895918367,7.15458520408163,10.3587337755102,4.47443853061224,-6.80630720408163,12.2001772857143,3.20098653061225,3.27992165306122,68.8081583061225,72.6880485102041
P08,gravel,38,86.5146051842105,-4.64218584210526,7.87210557894737,11.1129819473684,4.64087663157895,-7.20404863157895,13.1236604473684,3.16268328947368,3.239089,71.2260773947369,74.8483632631579
P08,paved,38,86.5780455789474,-4.06158105263158,6.13308007894737,9.68139868421053,4.37712247368421,-6.71846160526316,11.3006721052632,3.13160905263158,3.224736,67.5286067894737,71.3282800263158
P09,dirt,31,86.9256571612903,-3.523957,6.58096783870968,8.33432606451613,1.69061,-2.30649380645161,10.4321963548387,2.77205038709678,2.83478680645161,66.310714516129,72.1632754193548
P09,gravel,12,86.9460248333333,-4.35747108333333,7.45329941666667,8.23617708333333,1.52871933333333,-2.39360225,11.2439685833333,2.7962765,2.84858,65.2129825,73.1653111666667
P09,paved,39,87.2298707692308,-3.16667641025641,5.76024833333333,7.85845864102564,1.42569943589744,-1.9471137948718,9.69205994871795,2.84633797435897,2.90822325641026,63.2385458717949,69.4381661538462
P10,dirt,8,77.204221875,-5.128528625,10.8633695,8.749099,3.713864,-5.73282525,13.99784625,2.9512655,3.0667085,66.1286375,77.760262625
P10,gravel,6,80.1936625,-5.6627185,12.6271706666667,9.399273,3.14912083333333,-5.21486933333333,15.5677516666667,3.06925883333333,3.23541366666667,66.788432,78.8211786666667
P10,paved,12,79.0716980833333,-5.68691733333333,11.7646895833333,9.10903816666667,3.40746608333333,-4.96480408333333,14.8834665833333,2.80112508333333,3.01920775,68.8974383333333,79.3938241666667
P11,dirt,46,84.0151841304348,-4.44052965217391,9.69227852173913,8.24027413043478,5.89019993478261,-7.44566995652174,12.6160177826087,3.29584106521739,3.36211019565217,59.4657868043479,72.6209461956522
P11,gravel,49,84.7953406122449,-4.84316432653061,10.2559520612245,8.40925555102041,5.90978173469388,-7.76024230612245,13.248597755102,3.31733269387755,3.44448330612245,60.0348927346939,73.4859871428571
P11,paved,30,85.2975348666666,-3.60095363333333,8.5300988,8.04138926666667,5.97854366666667,-7.41683503333333,11.5693402333333,3.60141096666667,3.74517113333333,55.0978358666667,67.3960089333333
P12,dirt,42,86.1096270952381,-12.4817706428571,16.3101676666667,9.4232345,3.28141469047619,-4.18198519047619,18.8465093571429,3.26596821428571,3.29518411904762,64.7742879047619,82.053759952381
